candidate,fold,train_n,train_wr,train_pf,train_sum_r,test_n,test_wr,test_pf,test_sum_r,params
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,7,28,0.5357142857142857,0.9476330503149883,-0.7242699999999993,11,0.7272727272727273,2.458615342515735,4.7972399999999995,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,8,23,0.7391304347826086,2.418064889208204,9.710880000000001,11,0.45454545454545453,0.6863396918842463,-2.0512599999999996,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,0,33,0.696969696969697,1.5287298074058338,5.874130000000001,12,0.6666666666666666,1.376928472887974,1.6120100000000002,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,1,29,0.6896551724137931,1.4994198021379104,4.95376,12,0.6666666666666666,1.2621404857111411,1.14331,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,2,26,0.6923076923076923,1.4678557666842094,4.11605,12,0.6666666666666666,1.3476622020548388,1.3484600000000004,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,3,26,0.6923076923076923,1.548396938260276,4.63759,10,0.8,2.6257426285965177,3.55467,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,4,26,0.7307692307692307,1.6995199759394368,5.30297,15,0.6666666666666666,1.3256395821605056,1.8221000000000003,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,5,29,0.7241379310344828,1.6654023293968299,6.0592999999999995,16,0.375,0.41563062424748953,-6.0620199999999995,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,6,35,0.5714285714285714,0.912435708132643,-1.45766,9,0.8888888888888888,4.988209980511636,4.522669999999999,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,7,30,0.5333333333333333,0.7498907034272085,-3.615599999999999,11,0.7272727272727273,2.0720484796017744,3.46738,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.5_min_rr=0.4,8,25,0.76,2.1631324995711867,7.79828,12,0.5,0.6442574598281161,-2.2940200000000006,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,0,29,0.7586206896551724,2.0101938524261915,7.8198500000000015,10,0.6,1.0515651460312792,0.21741000000000008,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,1,27,0.7037037037037037,1.5470426818810672,4.784490000000001,10,0.7,1.2520944590979957,0.8133499999999997,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,2,22,0.6818181818181818,1.2879331230115942,2.16304,11,0.6363636363636364,1.110066694121611,0.4115900000000004,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,3,23,0.6956521739130435,1.4255876103634573,3.0305199999999997,10,0.8,2.2727167415782397,2.7466500000000003,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,4,23,0.7391304347826086,1.559505761185425,3.5908800000000007,15,0.6666666666666666,1.1523636992598931,0.8368499999999994,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,5,29,0.7241379310344828,1.4471020910983328,3.9777600000000004,15,0.5333333333333333,0.7357142760102002,-1.9453200000000002,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,6,34,0.6470588235294118,1.108271649386104,1.4344900000000007,8,0.875,4.032650643499488,3.37904,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,7,28,0.6071428571428571,0.9427463386363736,-0.6569600000000002,11,0.7272727272727273,1.7905023562617735,2.52624,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.4,8,24,0.75,1.8216570015350502,5.395459999999999,12,0.5,0.5584922507612473,-2.80855,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,0,17,0.7647058823529411,2.6326220739633057,7.096599999999999,9,0.5555555555555556,0.9265656025206586,-0.3088100000000002,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,1,17,0.7058823529411765,1.887306599535075,4.87811,6,0.5,0.7086766617719956,-0.9344400000000003,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,2,16,0.5625,0.9168005691695359,-0.6197900000000002,6,0.6666666666666666,1.262260739274599,0.5671100000000001,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,3,13,0.6153846153846154,1.1677816553752913,0.9091400000000001,7,0.8571428571428571,4.12547648125532,3.37814,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,4,14,0.7142857142857143,1.667969973310648,2.8581499999999997,7,0.7142857142857143,1.8482897476376783,1.85381,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,5,15,0.7333333333333333,1.954009369224294,4.170699999999999,11,0.36363636363636365,0.4894697586577347,-3.73047,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.75_min_rr=0.6,6,21,0.5714285714285714,1.0475944296108877,0.46951999999999955,4,1.0,inf,3.1378000000000004,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
